pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,1,0,0.805219,0.588125,0.339455
0,1,1,0.722328,0.592072,0.315772
0,1,2,0.560495,0.560495,0.315772
0,1,3,0.327613,0.56839,0.327613
0,1,4,0.765747,0.489447,0.327613
0,1,5,0.722328,0.56839,0.414451
0,1,6,0.840743,0.426292,0.410504
0,1,7,0.915739,0.698646,0.501288
0,1,8,0.840743,0.536812,0.513129
0,1,9,0.560495,0.694698,0.418398
0,1,10,0.560495,0.643385,0.410504
0,1,11,0.615755,0.386821,0.619703
0,1,12,0.840743,0.284195,0.615755
0,1,13,0.840743,0.592072,0.647333
0,1,14,0.840743,0.426292,0.671016
0,1,15,0.805219,0.524971,0.832849
0,1,16,0.560495,0.323666,0.89995
