pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0.828527,0,0.966635,0.431794,0.275856
0,0.828527,1,0.371672,0.431867,0.263345
0,0.828527,2,0.969544,0.421537,0.265286
0,0.828527,3,0.0202919,0.415789,0.266726
0,0.828527,4,0.962402,0.388316,0.26389
0,0.828527,5,0.989566,0.436568,0.343893
0,0.828527,6,0.992827,0.351701,0.360689
0,0.828527,7,0.95433,0.471111,0.452486
0,0.828527,8,0.969427,0.342192,0.46711
0,0.828527,9,0.981218,0.468264,0.546019
0,0.828527,10,0.986821,0.325359,0.561641
0,0.828527,11,0.972792,0.437541,0.561878
0,0.828527,12,0.984815,0.38383,0.56438
0,0.828527,13,0.962918,0.428277,0.685185
0,0.828527,14,0.988242,0.398055,0.68335
0,0.828527,15,0.462313,0.409142,0.803418
0,0.828527,16,0.549149,0.397005,0.803251
1,0.743155,0,0.994307,0.53334,0.293882
1,0.743155,1,0.994801,0.543884,0.283937
1,0.743155,2,0.892486,0.531251,0.285714
1,0.743155,3,0.991787,0.571985,0.287864
1,0.743155,4,0.108941,0.533693,0.294877
1,0.743155,5,0.993628,0.601411,0.358874
1,0.743155,6,0.989132,0.532629,0.361186
1,0.743155,7,0.990709,0.619985,0.436
1,0.743155,8,0.930642,0.504286,0.447572
1,0.743155,9,0.984667,0.651553,0.506202
1,0.743155,10,0.236053,0.504217,0.494193
1,0.743155,11,0.982947,0.587617,0.513618
1,0.743155,12,0.964694,0.540202,0.517501
1,0.743155,13,0.945937,0.581421,0.662926
1,0.743155,14,0.518035,0.558173,0.663176
1,0.743155,15,0.101754,0.589044,0.774868
1,0.743155,16,0.0131176,0.586417,0.773221
