pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0.907445,0,0.993526,0.424306,0.276079
0,0.907445,1,0.851617,0.426064,0.259552
0,0.907445,2,0.993431,0.410696,0.262466
0,0.907445,3,0.0153376,0.42602,0.266112
0,0.907445,4,0.990746,0.381225,0.26288
0,0.907445,5,0.989006,0.440978,0.346193
0,0.907445,6,0.994598,0.347977,0.363168
0,0.907445,7,0.977609,0.464173,0.459905
0,0.907445,8,0.972734,0.336701,0.471512
0,0.907445,9,0.985216,0.466231,0.543129
0,0.907445,10,0.992133,0.327799,0.569265
0,0.907445,11,0.978006,0.437176,0.564354
0,0.907445,12,0.987679,0.383151,0.557117
0,0.907445,13,0.969456,0.434741,0.694252
0,0.907445,14,0.99302,0.394944,0.689778
0,0.907445,15,0.821213,0.412015,0.797436
0,0.907445,16,0.921246,0.397407,0.802907
1,0.772462,0,0.995008,0.537256,0.295888
1,0.772462,1,0.993288,0.546334,0.283817
1,0.772462,2,0.935467,0.532501,0.285714
1,0.772462,3,0.988275,0.571167,0.291374
1,0.772462,4,0.0898449,0.530677,0.298323
1,0.772462,5,0.992963,0.604369,0.359854
1,0.772462,6,0.99471,0.527807,0.364531
1,0.772462,7,0.986753,0.624771,0.437438
1,0.772462,8,0.907404,0.500875,0.455539
1,0.772462,9,0.977979,0.647857,0.508032
1,0.772462,10,0.298441,0.509223,0.497258
1,0.772462,11,0.98426,0.59464,0.529099
1,0.772462,12,0.985921,0.548358,0.527145
1,0.772462,13,0.957126,0.580287,0.658541
1,0.772462,14,0.680984,0.565347,0.657263
1,0.772462,15,0.306468,0.58866,0.761291
1,0.772462,16,0.0569588,0.587743,0.759622
