pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0.882771,0,0.987734,0.424159,0.277874
0,0.882771,1,0.875493,0.426013,0.263347
0,0.882771,2,0.987734,0.413914,0.264664
0,0.882771,3,0.00712284,0.427988,0.269913
0,0.882771,4,0.987211,0.38691,0.272048
0,0.882771,5,0.98119,0.444924,0.345145
0,0.882771,6,0.986712,0.348549,0.373639
0,0.882771,7,0.969982,0.464539,0.448007
0,0.882771,8,0.923568,0.334065,0.474659
0,0.882771,9,0.978135,0.468248,0.540858
0,0.882771,10,0.921848,0.32564,0.567542
0,0.882771,11,0.946248,0.437167,0.554791
0,0.882771,12,0.854741,0.382763,0.554936
0,0.882771,13,0.948379,0.434918,0.683659
0,0.882771,14,0.967184,0.392791,0.685226
0,0.882771,15,0.819805,0.422516,0.792945
0,0.882771,16,0.864021,0.399603,0.79698
1,0.731266,0,0.98755,0.536678,0.29473
1,0.731266,1,0.987734,0.544862,0.278831
1,0.731266,2,0.922311,0.534524,0.284463
1,0.731266,3,0.987734,0.566451,0.285827
1,0.731266,4,0.0298699,0.53314,0.296508
1,0.731266,5,0.964089,0.607887,0.358859
1,0.731266,6,0.985286,0.525627,0.369637
1,0.731266,7,0.90538,0.625807,0.440631
1,0.731266,8,0.902006,0.508003,0.454937
1,0.731266,9,0.768054,0.648161,0.51727
1,0.731266,10,0.0508652,0.466711,0.54132
1,0.731266,11,0.750146,0.596556,0.518627
1,0.731266,12,0.830472,0.551159,0.520995
1,0.731266,13,0.765174,0.583248,0.658799
1,0.731266,14,0.426342,0.575097,0.659048
1,0.731266,15,0.642251,0.585033,0.793881
1,0.731266,16,0.526263,0.584976,0.795784
