pose_id,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0,0.996866,544.458313,201.593872
0,1,0.768488,543.709412,191.111557
0,2,0.996838,531.137268,190.117645
0,3,0.003188,546.499756,195.872253
0,4,0.995815,496.252716,194.184219
0,5,0.991435,568.827576,245.672699
0,6,0.984930,450.812408,266.577667
0,7,0.970770,592.366516,321.809113
0,8,0.973621,432.348022,339.305573
0,9,0.939525,599.876343,393.646637
0,10,0.637947,418.656616,407.459778
0,11,0.840340,556.535950,394.714722
0,12,0.908146,489.119690,403.656158
0,13,0.872414,556.324829,493.146332
0,14,0.968481,506.583740,487.221680
0,15,0.633802,538.955444,565.313843
0,16,0.847699,510.321564,575.501892
1,0,0.993147,689.729797,212.268188
1,1,0.994500,698.901978,199.450974
1,2,0.850453,685.958130,204.224747
1,3,0.984101,729.724792,205.134048
1,4,0.018610,683.998962,216.707504
1,5,0.914646,774.920410,259.280182
1,6,0.962007,675.024109,268.004547
1,7,0.943502,803.119507,315.983765
1,8,0.896268,656.681885,335.208130
1,9,0.875358,832.630798,370.588623
1,10,0.119871,598.186157,393.378448
1,11,0.647327,775.780518,386.175751
1,12,0.449602,712.833618,390.173035
1,13,0.519119,754.796753,467.846161
1,14,0.604508,745.456543,469.994995
1,15,0.688799,751.537170,571.339355
1,16,0.616273,747.488037,577.351807
